task_id,condition,source,draws,passed,missing,pass_rate,lower,upper
atcoder/abc399_e,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc399_e,A,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc399_e,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc399_e,D,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc399_e,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3777,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3777,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3777,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3777,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3777,A,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3777,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3777,D,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3777,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3605,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3605,ROTATING_M,secondary_training_seed,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
leetcode/3605,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3605,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
leetcode/3605,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3605,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3605,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3605,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/arc192_b,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc192_b,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc192_b,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc192_b,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/arc192_b,A,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/arc192_b,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/arc192_b,D,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/arc192_b,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc398_b,FIXED_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc398_b,ROTATING_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc398_b,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc398_b,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc398_b,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc398_b,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc398_b,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc398_b,P,reused_primary_native_reference,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
atcoder/abc391_b,FIXED_M,secondary_training_seed,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
atcoder/abc391_b,ROTATING_M,secondary_training_seed,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
atcoder/abc391_b,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc391_b,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc391_b,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc391_b,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc391_b,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc391_b,P,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc371_c,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc371_c,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc371_c,FIXED_H,secondary_training_seed,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
atcoder/abc371_c,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc371_c,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc371_c,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc371_c,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc371_c,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc393_a,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc393_a,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc393_a,FIXED_H,secondary_training_seed,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
atcoder/abc393_a,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc393_a,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc393_a,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc393_a,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc393_a,P,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
leetcode/3763,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3763,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3763,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3763,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
leetcode/3763,A,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3763,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3763,D,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
leetcode/3763,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc400_g,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc400_g,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc400_g,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc400_g,ROTATING_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc400_g,A,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc400_g,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
