task_id,seed_index,answer_seed,perfect_seconds,removed_prefill_seconds,perfect_passed,A_minus_perfect_seconds,B_minus_perfect_seconds,D_minus_perfect_seconds,ROTATING_H_minus_perfect_seconds
leetcode/3789,0,269029406233041057,896.3415057533421,2.12814679229632,False,23.997445601504296,-281.13299308530986,2.12814679229632,58.64814451849088
leetcode/3789,1,8599141550445160928,898.4358500954695,2.12814679229632,False,19.274063746910542,-280.7003997922875,2.12814679229632,-1.5600450639612973
leetcode/3789,2,6784466414361775050,897.0266991406679,2.12814679229632,False,21.345820349175483,-281.10237389896065,2.12814679229632,10.608203856740147
atcoder/arc185_b,0,10380943433322328,820.4878734345548,1.9458936308510602,False,12.41531213093549,-100.46444322774187,1.9458936308510602,1.2081425990909338
atcoder/arc185_b,1,3740836741728906423,819.0763639337383,1.9458936308510602,False,10.996906942222267,-89.38893087627366,1.9458936308510602,1.9520572354085743
atcoder/arc185_b,2,5102987364848232562,820.5041506816633,1.9458936308510602,False,9.854675457812846,-98.6273567029275,1.9458936308510602,40.33282415010035
leetcode/3736,0,7515845298237230753,261.85999421356246,0.3887616987340152,True,9.449182845186442,-139.55765974987298,0.3887616987340152,0.629486573394388
leetcode/3736,1,4247951906098248978,262.1725295782089,0.3887616987340152,True,6.5566117586568,-141.47072928445414,0.3887616987340152,-0.13655628683045506
leetcode/3736,2,1931502782461794081,264.2918047509156,0.3887616987340152,True,7.2513291370123625,-143.36876808246598,0.3887616987340152,-2.339426560793072
atcoder/abc370_f,0,8158212927794548221,1141.6680893469602,3.0095209549181163,False,36.157033239956945,-333.36294423462823,3.0095209549181163,-3.827031278051436
atcoder/abc370_f,1,8766200670538295375,1142.2629680633545,3.0095209549181163,False,41.693129528313875,-364.432474588044,3.0095209549181163,-12.350072942208499
atcoder/abc370_f,2,4532927311159771363,1140.7552736904472,3.0095209549181163,False,39.57684574415907,-312.66309912642464,3.0095209549181163,-1.1724369428120553
atcoder/arc188_d,0,5975390404176266514,1517.392912981566,3.0701434672810137,False,91.00176599342376,-789.9598796316423,3.0701434672810137,3.1424528770148754
atcoder/arc188_d,1,1421106230739175245,1517.4263384956867,3.0701434672810137,False,110.81554717663676,-807.0691540660337,3.0701434672810137,0.27978329360485077
atcoder/arc188_d,2,7917157381048755466,1517.4564713807777,3.0701434672810137,False,123.20120289176702,-806.0264467317611,3.0701434672810137,31.14985525654629
leetcode/3788,0,3506043183728101469,1020.050030503422,2.694383609574288,False,16.764846462290734,-674.8630775650963,2.694383609574288,3.649163067806512
